id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,datasets/gov/rc/ar_ws/text_with_coordinates,,,,,,,,,,,,,,,Adresų duomenys su koordinatėmis,"Administracinių-teritorinių vienetų ir seniūnijų, gyvenamųjų vietovių, gatvių, adresų (žemės sklypų ir (ar) pastatų, patalpų) tekstinių duomenų su koordinatėmis rinkinys iš Lietuvos Respublikos adresų registro. Duomenų geografinė imtis — visa šalies teritorija."
,,,,,,prefix,ldtype,,,,,,,http://inspire.ec.europa.eu/codelist/LocatorDesignatorTypeValue/,,,
,,,,,,,cv,,,,,,,http://data.europa.eu/m8g/,,,
,,,,,,,atutype,,,,,,,http://publications.europa.eu/resource/authority/atu-type/,,,
,,,,,,,atu,,,,,,,http://publications.europa.eu/resource/authority/atu,,,
,,,,,,,rdfs,,,,,,,http://www.w3.org/2000/01/rdf-schema#,,,
,,,,,,,dct,,,,,,,http://purl.org/dc/terms/,,,
,,,,,,,locn,,,,,,,http://www.w3.org/ns/locn#,,,
,,,,,,,ad,,,,,,,http://inspire.ec.europa.eu/ont/ad#,,,
,,,,,,,spinta,,,,,,,https://github.com/atviriduomenys/spinta/issues/,,,
,,,,,,,skos,,,,,,,https://www.w3.org/2009/08/skos-reference/skos.html#,,,
,,,,AdminUnitLevel,,,title@lt,/ADMINISTRACINIAI/ADMINISTRACINIS,,2,completed,public,,skos:Concept,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.235119/asr#15.2.1.2.,Administracinio vieneto tipas,Administracinio vieneto tipas
,,,,,_label@lt,string,,TIPAS,,5,completed,public,public,,,Pavadinimas,"Administracinio vieneto tipo pavadinimas (apskritis, savivaldybė, seniūnija)"
,,,,,id,integer,,,,0,completed,package,public,,,Identifikatorius,Identifikatorius
,,,,,title@lt,string  required,,TIPAS,,5,completed,public,public,,,Pavadinimas,"Administracinio vieneto tipo pavadinimas (apskritis, savivaldybė, seniūnija)"
,,,,,abbreviation@lt,string,,TIPO_SANTRUMPA,,5,completed,package,public,,,Santrumpa,"Administracinio vieneto tipo santrumpa (apskritis - apskr., savivaldybė - sav., seniūnija - sen.)"
,,,,AdminUnit,,,code,/ADMINISTRACINIAI/ADMINISTRACINIS,,5,completed,public,,cv:AdminUnit,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.235119/asr#14.1.,Administracinis vienetas,Administracinis teritorinis vienetas
,,,,,id,integer,,,,0,completed,package,public,,,Administracinio vieneto identifikatorius,Administracinio vieneto identifikatorius
,,,,,code,integer required,,ADM_KODAS,,4,completed,package,public,cv:code,,Administracinio vieneto identifikacinis kodas,Administracinio vieneto identifikacinis kodas
,,,,,,enum,,1,,,,,,atu:LTU_APS_AYS,,Alytaus apskritis,Alytaus apskritis
,,,,,,,,2,,,,,,atu:LTU_APS_KUN,,Kauno apskritis,Kauno apskritis
,,,,,,,,3,,,,,,atu:LTU_APS_KLA,,Klaipėdos apskritis,Klaipėdos apskritis
,,,,,,,,4,,,,,,atu:LTU_APS_MJP,,Marijampolės apskritis,Marijampolės apskritis
,,,,,,,,5,,,,,,atu:LTU_APS_PNV,,Panevėžio apskritis,Panevėžio apskritis
,,,,,,,,6,,,,,,atu:LTU_APS_SQQ,,Šiaulių apskritis,Šiaulių apskritis
,,,,,,,,7,,,,,,atu:LTU_APS_TAU,,Tauragės apskritis,Tauragės apskritis
,,,,,,,,8,,,,,,atu:LTU_APS_TEL,,Telšių apskritis,Telšių apskritis
,,,,,,,,9,,,,,,atu:LTU_APS_UTA,,Utenos apskritis,Utenos apskritis
,,,,,,,,10,,,,,,atu:LTU_APS_VNO,,Vilniaus apskritis,Vilniaus apskritis
,,,,,,,,11,,,,,,atu:LTU_MSV_AYS,,Alytaus miesto savivaldybė,Alytaus miesto savivaldybė
,,,,,,,,12,,,,,,atu:LTU_MSV_BIR,,Birštono savivaldybė,Birštono savivaldybė
,,,,,,,,13,,,,,,atu:LTU_MSV_VNO,,Vilniaus miesto savivaldybė,Vilniaus miesto savivaldybė
,,,,,,,,15,,,,,,atu:LTU_MSV_DRU,,Druskininkų savivaldybė,Druskininkų savivaldybė
,,,,,,,,18,,,,,,atu:LTU_MSV_MAR,,Marijampolės savivaldybė,Marijampolės savivaldybė
,,,,,,,,19,,,,,,atu:LTU_MSV_KAU,,Kauno miesto savivaldybė,Kauno miesto savivaldybė
,,,,,,,,21,,,,,,atu:LTU_MSV_KLP,,Klaipėdos miesto savivaldybė,Klaipėdos miesto savivaldybė
,,,,,,,,23,,,,,,atu:LTU_MSV_NER,,Neringos savivaldybė,Neringos savivaldybė
,,,,,,,,25,,,,,,atu:LTU_MSV_PAL,,Palangos miesto savivaldybė,Palangos miesto savivaldybė
,,,,,,,,27,,,,,,atu:LTU_MSV_PNV,,Panevėžio miesto savivaldybė,Panevėžio miesto savivaldybė
,,,,,,,,29,,,,,,atu:LTU_MSV_SIA,,Šiaulių miesto savivaldybė,Šiaulių miesto savivaldybė
,,,,,,,,30,,,,,,atu:LTU_MSV_VIS,,Visagino savivaldybė,Visagino savivaldybė
,,,,,,,,32,,,,,,atu:LTU_RSV_AKM,,Akmenės rajono savivaldybė,Akmenės rajono savivaldybė
,,,,,,,,33,,,,,,atu:LTU_RSV_ALY,,Alytaus rajono savivaldybė,Alytaus rajono savivaldybė
,,,,,,,,34,,,,,,atu:LTU_RSV_ANY,,Anykščių rajono savivaldybė,Anykščių rajono savivaldybė
,,,,,,,,36,,,,,,atu:LTU_RSV_BIR,,Biržų rajono savivaldybė,Biržų rajono savivaldybė
,,,,,,,,38,,,,,,atu:LTU_RSV_VAR,,Varėnos rajono savivaldybė,Varėnos rajono savivaldybė
,,,,,,,,39,,,,,,atu:LTU_RSV_VIK,,Vilkaviškio rajono savivaldybė,Vilkaviškio rajono savivaldybė
,,,,,,,,41,,,,,,atu:LTU_RSV_VIL,,Vilniaus rajono savivaldybė,Vilniaus rajono savivaldybė
,,,,,,,,42,,,,,,atu:LTU_MSV_ELE,,Elektrėnų savivaldybė,Elektrėnų savivaldybė
,,,,,,,,43,,,,,,atu:LTU_RSV_ZAR,,Zarasų rajono savivaldybė,Zarasų rajono savivaldybė
,,,,,,,,45,,,,,,atu:LTU_RSV_IGN,,Ignalinos rajono savivaldybė,Ignalinos rajono savivaldybė
,,,,,,,,46,,,,,,atu:LTU_RSV_JNA,,Jonavos rajono savivaldybė,Jonavos rajono savivaldybė
,,,,,,,,47,,,,,,atu:LTU_RSV_JON,,Joniškio rajono savivaldybė,Joniškio rajono savivaldybė
,,,,,,,,48,,,,,,atu:LTU_MSV_KAL,,Kalvarijos savivaldybė,Kalvarijos savivaldybė
,,,,,,,,49,,,,,,atu:LTU_RSV_KAI,,Kaišiadorių rajono savivaldybė,Kaišiadorių rajono savivaldybė
,,,,,,,,52,,,,,,atu:LTU_RSV_KAU,,Kauno rajono savivaldybė,Kauno rajono savivaldybė
,,,,,,,,53,,,,,,atu:LTU_RSV_KED,,Kėdainių rajono savivaldybė,Kėdainių rajono savivaldybė
,,,,,,,,54,,,,,,atu:LTU_RSV_KEL,,Kelmės rajono savivaldybė,Kelmės rajono savivaldybė
,,,,,,,,55,,,,,,atu:LTU_RSV_KLP,,Klaipėdos rajono savivaldybė,Klaipėdos rajono savivaldybė
,,,,,,,,56,,,,,,atu:LTU_RSV_KRE,,Kretingos rajono savivaldybė,Kretingos rajono savivaldybė
,,,,,,,,57,,,,,,atu:LTU_RSV_KUP,,Kupiškio rajono savivaldybė,Kupiškio rajono savivaldybė
,,,,,,,,58,,,,,,atu:LTU_MSV_KAZ,,Kazlų Rūdos savivaldybė,Kazlų Rūdos savivaldybė
